Invoice ID,Branch,City,Customer type,Gender,Product line
750-67-8428,A,Yangon,Member,Female,Health and beauty
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle
123-19-1176,A,Yangon,Member,Male,Health and beauty
373-73-7910,A,Yangon,Normal,Male,Sports and travel
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories
355-53-5943,A,Yangon,Member,Female,Electronic accessories
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle
665-32-9167,A,Yangon,Member,Female,Health and beauty
692-92-5582,B,Mandalay,Member,Female,Food and beverages
351-62-0822,B,Mandalay,Member,Female,Fashion accessories
529-56-3974,B,Mandalay,Member,Male,Electronic accessories
365-64-0515,A,Yangon,Normal,Female,Electronic accessories
252-56-2699,A,Yangon,Normal,Male,Food and beverages
829-34-3910,A,Yangon,Normal,Female,Health and beauty
299-46-1805,B,Mandalay,Member,Female,Sports and travel
656-95-9349,A,Yangon,Member,Female,Health and beauty
765-26-6951,A,Yangon,Normal,Male,Sports and travel
329-62-1586,A,Yangon,Normal,Male,Food and beverages
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories
371-85-5789,B,Mandalay,Normal,Male,Health and beauty
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle
636-48-8204,A,Yangon,Normal,Male,Electronic accessories
549-59-1358,A,Yangon,Member,Male,Sports and travel
227-03-5010,A,Yangon,Member,Female,Home and lifestyle
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories
189-17-4241,A,Yangon,Normal,Female,Fashion accessories
145-94-9061,B,Mandalay,Normal,Female,Food and beverages
848-62-7243,A,Yangon,Normal,Male,Health and beauty
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories
149-71-6266,B,Mandalay,Member,Male,Sports and travel
640-49-2076,B,Mandalay,Normal,Male,Sports and travel
595-11-5460,A,Yangon,Normal,Male,Health and beauty
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel
129-29-8530,A,Yangon,Member,Male,Sports and travel
272-65-1806,A,Yangon,Normal,Female,Electronic accessories
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle
354-25-5821,B,Mandalay,Member,Female,Sports and travel
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty
132-32-9879,B,Mandalay,Member,Female,Electronic accessories
370-41-7321,B,Mandalay,Member,Male,Health and beauty
727-46-3608,B,Mandalay,Member,Female,Food and beverages
669-54-1719,B,Mandalay,Member,Male,Electronic accessories
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages
162-48-8011,A,Yangon,Member,Female,Food and beverages
616-24-2851,B,Mandalay,Member,Female,Fashion accessories
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories
